id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,imdb_id,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,poster,Action,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Game-Show,Reality-TV,News,Short,Film-Noir
1,James Cameron,178,CCH Pounder,Joel David Moore,760505847,Avatar,886204,Wes Studi,http://www.imdb.com/title/tt0499549/,tt0499549,3054,English,USA,PG-13,237000000,2009,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Gore Verbinski,169,Johnny Depp,Orlando Bloom,309404152,Pirates of the Caribbean: At World's End,471220,Jack Davenport,http://www.imdb.com/title/tt0449088/,tt0449088,1238,English,USA,PG-13,300000000,2007,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Sam Mendes,148,Christoph Waltz,Rory Kinnear,200074175,Spectre,275868,Stephanie Sigman,http://www.imdb.com/title/tt2379713/,tt2379713,4292,English,UK,PG-13,245000000,2015,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Christopher Nolan,164,Tom Hardy,Christian Bale,448130642,The Dark Knight Rises,1144337,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1345836/,tt1345836,2701,English,USA,PG-13,250000000,2012,8.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Andrew Stanton,132,Daryl Sabara,Samantha Morton,73058679,John Carter,212204,Polly Walker,http://www.imdb.com/title/tt0401729/,tt0401729,738,English,USA,PG-13,263700000,2012,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sam Raimi,156,J.K. Simmons,James Franco,336530303,Spider-Man 3,383056,Kirsten Dunst,http://www.imdb.com/title/tt0413300/,tt0413300,1902,English,USA,PG-13,258000000,2007,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Nathan Greno,100,Brad Garrett,Donna Murphy,200807262,Tangled,294810,M.C. Gainey,http://www.imdb.com/title/tt0398286/,tt0398286,387,English,USA,PG,260000000,2010,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Joss Whedon,141,Chris Hemsworth,Robert Downey Jr.,458991599,Avengers: Age of Ultron,462669,Scarlett Johansson,http://www.imdb.com/title/tt2395427/,tt2395427,1117,English,USA,PG-13,250000000,2015,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,David Yates,153,Alan Rickman,Daniel Radcliffe,301956980,Harry Potter and the Half-Blood Prince,321795,Rupert Grint,http://www.imdb.com/title/tt0417741/,tt0417741,973,English,UK,PG,250000000,2009,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Zack Snyder,183,Henry Cavill,Lauren Cohan,330249062,Batman v Superman: Dawn of Justice,371639,Alan D. Purwin,http://www.imdb.com/title/tt2975590/,tt2975590,3018,English,USA,PG-13,250000000,2016,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bryan Singer,169,Kevin Spacey,Marlon Brando,200069408,Superman Returns,240396,Frank Langella,http://www.imdb.com/title/tt0348150/,tt0348150,2367,English,USA,PG-13,209000000,2006,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,168368427,Quantum of Solace,330784,Rory Kinnear,http://www.imdb.com/title/tt0830515/,tt0830515,1243,English,UK,PG-13,200000000,2008,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_SX300.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Gore Verbinski,151,Johnny Depp,Orlando Bloom,423032628,Pirates of the Caribbean: Dead Man's Chest,522040,Jack Davenport,http://www.imdb.com/title/tt0383574/,tt0383574,1832,English,USA,PG-13,225000000,2006,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gore Verbinski,150,Johnny Depp,Ruth Wilson,89289910,The Lone Ranger,181792,Tom Wilkinson,http://www.imdb.com/title/tt1210819/,tt1210819,711,English,USA,PG-13,215000000,2013,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Zack Snyder,143,Henry Cavill,Christopher Meloni,291021565,Man of Steel,548573,Harry Lennix,http://www.imdb.com/title/tt0770828/,tt0770828,2536,English,USA,PG-13,225000000,2013,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Andrew Adamson,150,Peter Dinklage,Pierfrancesco Favino,141614023,The Chronicles of Narnia: Prince Caspian,149922,Damián Alcázar,http://www.imdb.com/title/tt0499448/,tt0499448,438,English,USA,PG,225000000,2008,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,623279547,The Avengers,995415,Scarlett Johansson,http://www.imdb.com/title/tt0848228/,tt0848228,1722,English,USA,PG-13,220000000,2012,8.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
