id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,imdb_id,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,poster,Action,Adventure,Fantasy
1,James Cameron,178,CCH Pounder,Joel David Moore,760505847,Avatar,886204,Wes Studi,http://www.imdb.com/title/tt0499549/,tt0499549,3054,English,USA,PG-13,237000000,2009,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,1,0,1
2,Gore Verbinski,169,Johnny Depp,Orlando Bloom,309404152,Pirates of the Caribbean: At World's End,471220,Jack Davenport,http://www.imdb.com/title/tt0449088/,tt0449088,1238,English,USA,PG-13,300000000,2007,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,1,0,1
3,Sam Mendes,148,Christoph Waltz,Rory Kinnear,200074175,Spectre,275868,Stephanie Sigman,http://www.imdb.com/title/tt2379713/,tt2379713,4292,English,UK,PG-13,245000000,2015,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,1,0,1
4,Christopher Nolan,164,Tom Hardy,Christian Bale,448130642,The Dark Knight Rises,1144337,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1345836/,tt1345836,2701,English,USA,PG-13,250000000,2012,8.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,1,0,1
6,Andrew Stanton,132,Daryl Sabara,Samantha Morton,73058679,John Carter,212204,Polly Walker,http://www.imdb.com/title/tt0401729/,tt0401729,738,English,USA,PG-13,263700000,2012,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1,0,1
7,Sam Raimi,156,J.K. Simmons,James Franco,336530303,Spider-Man 3,383056,Kirsten Dunst,http://www.imdb.com/title/tt0413300/,tt0413300,1902,English,USA,PG-13,258000000,2007,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1,0,1
8,Nathan Greno,100,Brad Garrett,Donna Murphy,200807262,Tangled,294810,M.C. Gainey,http://www.imdb.com/title/tt0398286/,tt0398286,387,English,USA,PG,260000000,2010,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,1,0,1
9,Joss Whedon,141,Chris Hemsworth,Robert Downey Jr.,458991599,Avengers: Age of Ultron,462669,Scarlett Johansson,http://www.imdb.com/title/tt2395427/,tt2395427,1117,English,USA,PG-13,250000000,2015,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,1,0,1
10,David Yates,153,Alan Rickman,Daniel Radcliffe,301956980,Harry Potter and the Half-Blood Prince,321795,Rupert Grint,http://www.imdb.com/title/tt0417741/,tt0417741,973,English,UK,PG,250000000,2009,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,1,0,1
11,Zack Snyder,183,Henry Cavill,Lauren Cohan,330249062,Batman v Superman: Dawn of Justice,371639,Alan D. Purwin,http://www.imdb.com/title/tt2975590/,tt2975590,3018,English,USA,PG-13,250000000,2016,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1,0,1
12,Bryan Singer,169,Kevin Spacey,Marlon Brando,200069408,Superman Returns,240396,Frank Langella,http://www.imdb.com/title/tt0348150/,tt0348150,2367,English,USA,PG-13,209000000,2006,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,1,0,1
13,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,168368427,Quantum of Solace,330784,Rory Kinnear,http://www.imdb.com/title/tt0830515/,tt0830515,1243,English,UK,PG-13,200000000,2008,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_SX300.jpg,1,0,1
14,Gore Verbinski,151,Johnny Depp,Orlando Bloom,423032628,Pirates of the Caribbean: Dead Man's Chest,522040,Jack Davenport,http://www.imdb.com/title/tt0383574/,tt0383574,1832,English,USA,PG-13,225000000,2006,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,1,0,1
15,Gore Verbinski,150,Johnny Depp,Ruth Wilson,89289910,The Lone Ranger,181792,Tom Wilkinson,http://www.imdb.com/title/tt1210819/,tt1210819,711,English,USA,PG-13,215000000,2013,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg,1,0,1
16,Zack Snyder,143,Henry Cavill,Christopher Meloni,291021565,Man of Steel,548573,Harry Lennix,http://www.imdb.com/title/tt0770828/,tt0770828,2536,English,USA,PG-13,225000000,2013,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,1,0,1
17,Andrew Adamson,150,Peter Dinklage,Pierfrancesco Favino,141614023,The Chronicles of Narnia: Prince Caspian,149922,Damián Alcázar,http://www.imdb.com/title/tt0499448/,tt0499448,438,English,USA,PG,225000000,2008,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg,1,0,1
18,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,623279547,The Avengers,995415,Scarlett Johansson,http://www.imdb.com/title/tt0848228/,tt0848228,1722,English,USA,PG-13,220000000,2012,8.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,1,0,1
19,Rob Marshall,136,Johnny Depp,Sam Claflin,241063875,Pirates of the Caribbean: On Stranger Tides,370704,Stephen Graham,http://www.imdb.com/title/tt1298650/,tt1298650,484,English,USA,PG-13,250000000,2011,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,1,0,1
20,Barry Sonnenfeld,106,Will Smith,Michael Stuhlbarg,179020854,Men in Black 3,268154,Nicole Scherzinger,http://www.imdb.com/title/tt1409024/,tt1409024,341,English,USA,PG-13,225000000,2012,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,1,0,1
21,Peter Jackson,164,Aidan Turner,Adam Brown,255108370,The Hobbit: The Battle of the Five Armies,354228,James Nesbitt,http://www.imdb.com/title/tt2310332/,tt2310332,802,English,New Zealand,PG-13,250000000,2014,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,1,0,1
22,Marc Webb,153,Emma Stone,Andrew Garfield,262030663,The Amazing Spider-Man,451803,Chris Zylka,http://www.imdb.com/title/tt0948470/,tt0948470,1225,English,USA,PG-13,230000000,2012,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,1,0,0
23,Ridley Scott,156,Mark Addy,William Hurt,105219735,Robin Hood,211765,Scott Grimes,http://www.imdb.com/title/tt0955308/,tt0955308,546,English,USA,PG-13,200000000,2010,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,1,0,0
24,Peter Jackson,186,Aidan Turner,Adam Brown,258355354,The Hobbit: The Desolation of Smaug,483540,James Nesbitt,http://www.imdb.com/title/tt1170358/,tt1170358,951,English,USA,PG-13,225000000,2013,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,1,0,0
25,Chris Weitz,113,Christopher Lee,Eva Green,70083519,The Golden Compass,149019,Kristin Scott Thomas,http://www.imdb.com/title/tt0385752/,tt0385752,666,English,USA,PG-13,180000000,2007,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_SX300.jpg,1,1,0
26,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,218051260,King Kong,316018,Evan Parke,http://www.imdb.com/title/tt0360717/,tt0360717,2618,English,New Zealand,PG-13,207000000,2005,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1,1,0
27,James Cameron,194,Leonardo DiCaprio,Kate Winslet,658672302,Titanic,793059,Gloria Stuart,http://www.imdb.com/title/tt0120338/,tt0120338,2528,English,USA,PG-13,200000000,1997,7.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1,1,0
28,Anthony Russo,147,Robert Downey Jr.,Scarlett Johansson,407197282,Captain America: Civil War,272670,Chris Evans,http://www.imdb.com/title/tt3498820/,tt3498820,1022,English,USA,PG-13,250000000,2016,8.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,1,1,0
29,Peter Berg,131,Liam Neeson,Alexander Skarsgård,65173160,Battleship,202382,Tadanobu Asano,http://www.imdb.com/title/tt1440129/,tt1440129,751,English,USA,PG-13,209000000,2012,5.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_SX300.jpg,1,1,0
37,Michael Bay,150,Glenn Morshower,Kevin Dunn,402076689,Transformers: Revenge of the Fallen,323207,Ramon Rodriguez,http://www.imdb.com/title/tt1055369/,tt1055369,1439,English,USA,PG-13,200000000,2009,6,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,0,0,1
38,Michael Bay,165,Bingbing Li,Sophia Myles,245428137,Transformers: Age of Extinction,242420,Kelsey Grammer,http://www.imdb.com/title/tt2109248/,tt2109248,918,English,USA,PG-13,210000000,2014,5.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_SX300.jpg,0,0,1
