DisputeID,StDay,StMon,StYear,EndDay,EndMon,EndYear,stDate,endDate,durationDays,MaxHost,Total Fatality,MaxHostLev,MaxFatalityLev,United Kingdom,United States of America,China,Soviet Union
2,-9,7,1902,24,1,1903,1/7/1902,24-1-1903,207,Display of Force,0,3,0,1,2,1,1
3,2,5,1913,25,10,1913,2/5/1913,25-10-1913,176,Display of Force,0,3,0,1,1,1,1
4,15,5,1946,13,11,1946,15-5-1946,13-11-1946,181,Use of Force,-1,4,2,1,0,0,0
7,13,10,1951,26,1,1952,13-10-1951,26-1-1952,105,Use of Force,-1,4,2,2,0,0,0
8,-9,7,1856,14,3,1857,1-7-1856,14-3-1857,256,War,-1,5,6,2,0,0,0
9,29,12,1889,10,1,1890,29-12-1889,10-1-1890,12,Display of Force,0,3,0,2,0,0,0
11,11,3,1938,12,3,1938,11/3/1938,12/3/1938,1,Use of Force,0,4,0,0,0,0,0
12,26,8,1938,30,9,1938,26-8-1938,30-9-1938,34,Use of Force,0,4,0,1,0,0,1
13,20,7,1863,20,7,1863,20-7-1863,20-7-1863,0,Use of Force,0,4,0,2,2,0,0
14,15,10,1895,31,12,1895,15-10-1895,31-12-1895,77,Display of Force,0,3,0,2,0,0,0
15,-9,1,1839,23,3,1839,1-1-1839,23-3-1839,81,Use of Force,0,4,0,1,2,0,0
16,25,12,1897,5,2,1898,25-12-1897,5-2-1898,39,Display of Force,0,3,0,2,0,0,1
19,15,1,1848,23,3,1849,15-1-1848,23-3-1849,433,War,-1,5,6,1,1,1,1
20,18,11,1945,9,5,1946,18-11-1945,9/5/1946,173,Display of Force,0,3,0,0,0,0,2
21,21,11,1912,3,12,1912,21-11-1912,3/12/1912,13,Display of Force,0,3,0,0,0,0,1
22,9,6,1940,17,6,1940,9/6/1940,17-6-1940,8,Use of Force,-1,4,-1,0,0,0,2
23,-9,3,1939,18,10,1939,1/3/1939,18-10-1939,231,Use of Force,0,4,0,1,1,1,2
25,10,8,1831,2,2,1832,10-8-1831,2-2-1832,174,Use of Force,0,4,0,1,0,0,0
26,21,3,1948,25,7,1949,21-3-1948,25-7-1949,491,Use of Force,0,4,0,1,1,0,2
27,25,7,1961,28,10,1961,25-7-1961,28-10-1961,95,Use of Force,0,4,0,2,2,0,1
28,19,7,1961,5,9,1961,19-7-1961,5/9/1961,47,Use of Force,-1,4,3,0,0,0,0
30,6,10,1908,31,3,1909,6/10/1908,31-3-1909,176,Use of Force,-1,4,-1,0,0,0,0
31,30,5,1900,16,8,1900,30-5-1900,16-8-1900,78,War,-1,5,6,2,2,1,2
38,29,12,1837,5,1,1838,29-12-1837,5-1-1838,7,Use of Force,0,4,0,2,1,0,0
40,10,4,1928,18,11,1928,10/4/1928,18-11-1928,222,Use of Force,-1,4,3,0,0,1,0
41,27,5,1929,3,12,1929,27-5-1929,3/12/1929,190,War,-1,5,6,0,0,2,1
43,14,11,1897,6,3,1898,14-11-1897,6-3-1898,113,Use of Force,0,4,0,0,0,1,0
50,11,2,1953,19,1,1956,11/2/1953,19-1-1956,1075,Use of Force,0,4,2,0,2,1,1
51,27,6,1950,27,7,1953,27-6-1950,27-7-1953,1127,War,-1,5,6,1,1,2,0
53,22,8,1956,23,8,1956,22-8-1956,23-8-1956,1,Use of Force,0,4,0,0,1,2,0
55,29,8,1923,27,9,1923,29-8-1923,27-9-1923,28,Use of Force,0,4,0,0,0,0,0
56,15,2,1897,15,8,1897,15-2-1897,15-8-1897,184,Use of Force,0,4,0,2,0,0,2
57,13,6,1853,30,3,1856,13-6-1853,30-3-1856,1022,War,-1,5,6,1,0,0,2
61,28,1,1962,12,12,1962,28-1-1962,12/12/1962,318,Use of Force,0,4,0,0,2,0,1
64,5,4,1826,6,10,1826,5-4-1826,6-10-1826,185,Display of Force,0,3,0,1,1,1,1
65,1,7,1883,1,7,1883,1-7-1883,1-7-1883,0,Threat to Use Force,0,2,0,1,1,1,1
67,25,7,1934,31,7,1934,25-7-1934,31-7-1934,6,Display of Force,0,3,0,1,1,1,1
68,-9,1,1900,9,2,1900,1/1/1900,9/2/1900,36,Display of Force,0,3,0,0,2,0,0
69,25,3,1914,29,11,1916,25-3-1914,29-11-1916,979,Use of Force,0,4,0,0,2,0,0
71,17,1,1850,27,4,1850,17-1-1850,27-4-1850,99,Use of Force,0,4,0,2,0,0,0
72,23,6,1934,23,6,1934,23-6-1934,23-6-1934,0,Display of Force,0,3,0,0,0,0,0
77,18,9,1898,4,11,1898,18-9-1898,4-11-1898,47,Display of Force,0,3,0,2,0,0,0
78,17,7,1847,17,1,1848,17-7-1847,17-1-1848,184,Display of Force,0,3,0,0,0,0,0
86,25,3,1907,23,3,1908,25-3-1907,23-3-1908,364,Use of Force,-1,4,-1,0,0,0,0
88,6,7,1870,25,2,1871,6-7-1870,25-2-1871,231,War,-1,5,6,0,0,0,0
89,21,9,1822,13,11,1823,21-9-1822,13-11-1823,418,War,-1,5,5,0,0,0,2
91,22,5,1887,22,5,1887,22-5-1887,22-5-1887,0,Threat to Use Force,0,2,0,0,0,0,2
92,18,2,1964,29,2,1964,18-2-1964,29-2-1964,11,Use of Force,-1,4,2,0,0,0,0
95,-9,10,1909,-9,4,1910,1/10/1909,1/4/1910,181,Display of Force,0,3,0,0,0,0,0
96,26,4,1886,7,6,1886,26-4-1886,7-6-1886,42,Use of Force,0,4,0,2,0,0,2
100,13,12,1914,9,9,1915,13-12-1914,9/9/1915,269,Use of Force,0,4,0,0,2,0,0
104,-9,3,1880,-9,7,1880,1-3-1880,1-7-1880,122,Display of Force,0,3,0,1,1,1,2
106,23,4,1895,23,4,1895,23-4-1895,23-4-1895,0,Display of Force,0,3,0,0,0,0,2
108,7,4,1939,8,4,1939,7/4/1939,8/4/1939,1,Use of Force,-1,4,1,1,1,1,1
109,-9,9,1904,-9,10,1904,1/9/1904,1/10/1904,31,Display of Force,0,3,0,1,1,1,1
111,22,8,1935,9,5,1936,22-8-1935,9/5/1936,261,War,0,5,6,2,0,0,0
112,10,9,1860,29,9,1860,10-9-1860,29-9-1860,19,War,0,5,5,0,0,0,0
113,13,11,1860,19,1,1861,13-11-1860,19-1-1861,68,War,0,5,5,0,0,0,0
114,12,9,1911,18,10,1911,12/9/1911,18-10-1911,37,War,-1,5,6,0,0,0,0
115,22,4,1859,12,7,1859,22-4-1859,12-7-1859,82,War,-1,5,6,0,0,0,0
119,12,3,1885,22,5,1885,12-3-1885,22-5-1885,71,Display of Force,0,3,0,2,0,0,1
121,2,7,1853,2,7,1853,2-7-1853,2-7-1853,0,Display of Force,0,3,0,0,2,0,0
122,26,6,1961,28,2,1962,26-6-1961,28-2-1962,245,Use of Force,0,4,0,1,0,0,0
123,-9,4,1845,26,3,1846,1-4-1845,26-3-1846,360,Use of Force,-1,4,-1,2,0,0,0
125,14,5,1958,24,10,1958,14-5-1958,24-10-1958,163,Display of Force,0,3,0,2,2,0,1
126,-9,1,1853,25,2,1853,1-1-1853,25-2-1853,52,Display of Force,0,3,0,0,0,0,2
127,3,3,1921,5,11,1921,3/3/1921,5/11/1921,246,Use of Force,0,4,0,2,0,0,0
128,11,1,1905,6,12,1905,11/1/1905,6/12/1905,329,Use of Force,0,4,0,2,0,0,2
129,18,9,1931,31,5,1933,18-9-1931,31-5-1933,622,War,-1,5,6,0,0,1,0
131,14,9,1899,-9,4,1900,14-9-1899,1/4/1900,199,Display of Force,0,3,0,0,0,0,2
133,13,1,1923,15,1,1923,13-1-1923,15-1-1923,2,Use of Force,-1,4,-1,1,0,0,0
134,20,3,1939,23,3,1939,20-3-1939,23-3-1939,3,Use of Force,0,4,0,0,0,0,0
135,31,10,1861,5,2,1867,31-10-1861,5-2-1867,1920,War,-1,5,6,2,0,0,0
136,9,4,1914,23,11,1914,9/4/1914,23-11-1914,228,Use of Force,-1,4,4,0,1,0,0
